code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
gmw-afr-pro,Proto-Anglo-Frisian,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Proto-Anglo-Frisian_by_language,Q134603379,gmw-afr,Anglo-Frisian,gmw-nsg,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro""]",[],,[],missing,,,{}
gmw-cfr,Central Franconian,wiktionary,https://en.wiktionary.org/wiki/Category:Central_Franconian_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-ecg,East Central German,wiktionary,https://en.wiktionary.org/wiki/Category:East_Central_German_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-fin,Fingallian,wiktionary,https://en.wiktionary.org/wiki/Category:Fingallian_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-gts,Gottscheerish,wiktionary,https://en.wiktionary.org/wiki/Category:Gottscheerish_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-jdt,Jersey Dutch,wiktionary,https://en.wiktionary.org/wiki/Category:Jersey_Dutch_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-msc,Middle Scots,wiktionary,https://en.wiktionary.org/wiki/Category:Middle_Scots_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-nsg-pro,Proto-North Sea Germanic,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Proto-North_Sea_Germanic_by_language,Q134603374,gmw-nsg,North Sea Germanic,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-pro,Proto-West Germanic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-West_Germanic_language,,,,,"[""ine-pro"",""gem-pro""]",[],,[],missing,,,{}
gmw-rfr,Rhine Franconian,wiktionary,https://en.wiktionary.org/wiki/Category:Rhine_Franconian_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-stm,Sathmar Swabian,wiktionary,https://en.wiktionary.org/wiki/Category:Sathmar_Swabian_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-tsx,Transylvanian Saxon,wiktionary,https://en.wiktionary.org/wiki/Category:Transylvanian_Saxon_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-vog,Volga German,wiktionary,https://en.wiktionary.org/wiki/Category:Volga_German_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmw-zps,Zipser German,wiktionary,https://en.wiktionary.org/wiki/Category:Zipser_German_language,,,,,"[""ine-pro"",""gem-pro"",""gmw-pro""]",[],,[],missing,,,{}
gmy,Mycenaean Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Mycenaean_Greek_language,Q668366,grk,Hellenic,ine,"[""ine-pro"",""grk-pro""]","[""Linb""]",,[],missing,,,{}
gn-cls,Classical Guarani,wiktionary,https://en.wiktionary.org/wiki/Category:Classical_Guarani_language,,,,,[],[],,[],missing,,,{}
gnc,Guanche,wiktionary,https://en.wiktionary.org/wiki/Category:Guanche_language,Q35762,ber,Berber,afa,"[""afa-pro"",""ber-pro""]",[],,[],missing,,,{}
goh,Old High German,wiktionary,https://en.wiktionary.org/wiki/Category:Old_High_German_language,Q35218,gmw-hgm,High German,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro""]","[""Latn"",""Runr""]",,[],missing,,,{}
gon,Gondi,wiktionary,https://en.wiktionary.org/wiki/Category:Gondi_language,Q1775361,dra-gon,Gondi,dra-gki,"[""dra-pro"",""dra-sou-pro"",""dra-sdt-pro""]","[""Telu"",""Gonm"",""Gong"",""Deva"",""Orya""]",,[],missing,,,{}
gor,Gorontalo,wiktionary,https://en.wiktionary.org/wiki/Category:Gorontalo_language,Q2501174,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Latn""]",,[],missing,,,{}
got,Gothic,wiktionary,https://en.wiktionary.org/wiki/Category:Gothic_language,Q35722,gme,East Germanic,gem,"[""ine-pro"",""gem-pro""]","[""Goth"",""Runr"",""Latn""]",,[],missing,,,{}
gqi,Guiqiong,wiktionary,https://en.wiktionary.org/wiki/Category:Guiqiong_language,Q3120647,sit-qia,Qiangic,tbq-buq,"[""sit-pro""]",[],,[],missing,,,{}
grc,Ancient Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Ancient_Greek_language,Q35497,grk,Hellenic,ine,"[""ine-pro"",""grk-pro""]","[""Polyt"",""Cprt""]",,[],missing,,,{}
grc-att,Attic Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Attic_Greek_by_language,Q506588,,,,"[""ine-pro"",""grk-pro""]",[],,[],missing,,,{}
grc-dor,Doric Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Doric_Greek_by_language,Q285494,,,,"[""ine-pro"",""grk-pro""]",[],,[],missing,,,{}
grc-koi,Koine Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Koine_Greek_by_language,Q107358,,,,"[""ine-pro"",""grk-pro"",""grc-att""]",[],,[],missing,,,{}
grk-ita,Italiot Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Italiot_Greek_language,,,,,"[""ine-pro"",""grk-pro""]",[],,[],missing,,,{}
grk-mar,Mariupol Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Mariupol_Greek_language,,,,,"[""ine-pro"",""grk-pro""]",[],,[],missing,,,{}
grk-pro,Proto-Hellenic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Hellenic_language,,,,,"[""ine-pro""]",[],,[],missing,,,{}
grt,Garo,wiktionary,https://en.wiktionary.org/wiki/Category:Garo_language,Q36137,tbq-bdg,Bodo-Garo,tbq-bkj,"[""sit-pro"",""tbq-pro"",""tbq-bdg-pro""]","[""Latn"",""Beng"",""Brai""]",,[],missing,,,{}
gsw,Alemannic German,wiktionary,https://en.wiktionary.org/wiki/Category:Alemannic_German_language,Q131339,gmw-hgm,High German,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""goh"",""gmh""]","[""Latn""]",,[],missing,,,{}
gu,Gujarati,wiktionary,https://en.wiktionary.org/wiki/Category:Gujarati_language,Q5137,inc-wes,Western Indo-Aryan,inc,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-mgu""]","[""Arab"",""Gujr""]",,[],missing,,,{}
gub,Guajajára,wiktionary,https://en.wiktionary.org/wiki/Category:Guajaj%C3%A1ra_language,Q7699720,tup-gua,Tupi-Guarani,tup,"[""tup-pro"",""tup-gua-pro""]","[""Latn""]",,[],missing,,,{}
gug,Paraguayan Guarani,wiktionary,https://en.wiktionary.org/wiki/Category:Paraguayan_Guarani_language,Q17478066,gn,Guarani,tup-gua,"[""gn-cls""]","[""Latn""]",,[],missing,,,{}
gul,Gullah,wiktionary,https://en.wiktionary.org/wiki/Category:Gullah_language,Q33395,crp,creole or pidgin,qfa-cnt,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro"",""ang"",""enm"",""en-ear"",""en""]","[""Latn""]",,[],missing,,,{}
gun,Mbya Guarani,wiktionary,https://en.wiktionary.org/wiki/Category:Mbya_Guarani_language,Q3915584,gn,Guarani,tup-gua,"[""tup-pro"",""tup-gua-pro""]","[""Latn""]",,[],missing,,,{}
gur,Farefare,wiktionary,https://en.wiktionary.org/wiki/Category:Farefare_language,Q35331,nic-mre,Moré,nic-wov,"[""nic-pro"",""nic-gur-pro"",""nic-ovo-pro""]","[""Latn""]",,[],missing,,,{}
guw,Gun,wiktionary,https://en.wiktionary.org/wiki/Category:Gun_language,Q3111668,alv-gbe,Gbe,alv-von,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro"",""alv-gbe-pro""]","[""Latn""]",,[],missing,,,{}
